Ivory Coast (Côte d'Ivoire);Abidjan (former capital - still hosts some government offices)
Ivory Coast (Côte d'Ivoire);Yamoussoukro (de jure)
United Arab Emirates;Abu Dhabi
Nigeria;Abuja
Ghana;Accra
Pitcairn Islands;Adamstown
Ethiopia;Addis Ababa
Yemen;Aden (de facto, temporary)
Yemen;Sanaa (de jure)
Akrotiri and Dhekelia;Episkopi Cantonment
Algeria;Algiers
Niue;Alofi
Jordan;Amman
Netherlands;Amsterdam (official)
Netherlands;The Hague (de facto)
Andorra;Andorra la Vella
Turkey;Ankara
Madagascar;Antananarivo
Samoa;Apia
Turkmenistan;Ashgabat
Eritrea;Asmara
Kazakhstan;Astana
Paraguay;Asunción
Greece;Athens
Cook Islands;Avarua
Iraq;Baghdad
Azerbaijan;Baku
Mali;Bamako
Brunei;Bandar Seri Begawan
Thailand;Bangkok
Central African Republic;Bangui
Gambia;Banjul
Saint Kitts and Nevis;Basseterre
China;Beijing
Lebanon;Beirut
Serbia;Belgrade
Belize;Belmopan
Germany;Berlin
Switzerland;Bern (de facto)
Kyrgyzstan;Bishkek
Guinea-Bissau;Bissau
South Africa;Bloemfontein (judicial)
South Africa;Cape Town (legislative)
South Africa;Pretoria (executive)
Colombia;Bogotá
Montserrat;Brades (de facto)
Montserrat;Plymouth (de jure)
Brazil;Brasília
Slovakia;Bratislava
Congo;Brazzaville
Barbados;Bridgetown
Belgium;Brussels
European Union (de facto);Brussels
Romania;Bucharest
Hungary;Budapest
Argentina;Buenos Aires
Egypt;Cairo
Australia;Canberra
Venezuela;Caracas
Saint Lucia;Castries
United States Virgin Islands;Charlotte Amalie
Moldova;Chișinău
Turks and Caicos Islands;Cockburn Town
Sri Lanka;Colombo (executive, judicial)
Sri Lanka;Sri Jayawardenepura Kotte (official)
Guinea;Conakry
Denmark;Copenhagen
Benin;Cotonou (de facto)
Benin;Porto-Novo (official)
Senegal;Dakar
Syria;Damascus
Bangladesh;Dhaka
East Timor;Dili
Djibouti;Djibouti
Tanzania;Dodoma
Qatar;Doha
Isle of Man;Douglas
Ireland;Dublin
Tajikistan;Dushanbe
Tristan da Cunha;Edinburgh of the Seven Seas
Christmas Island;Flying Fish Cove
Sierra Leone;Freetown
French Southern and Antarctic Lands;Saint-Pierre (administration)
Tuvalu;Funafuti
Botswana;Gaborone
Cayman Islands;George Town
Ascension Island;Georgetown
Guyana;Georgetown
Gibraltar;Gibraltar
Burundi;Gitega (de jure)
Burundi;Bujumbura (de facto)
Guatemala;Guatemala City
Saint Barthélemy;Gustavia
Guam;Hagåtña
Bermuda;Hamilton
Vietnam;Hanoi
Zimbabwe;Harare
Somaliland;Hargeisa
Cuba;Havana
Finland;Helsinki
Solomon Islands;Honiara
Pakistan;Islamabad
Indonesia;Jakarta
Saint Helena;Jamestown
Israel;Jerusalem
Palestine;Jerusalem
Palestine;Ramallah (de facto)
South Sudan;Juba
Afghanistan;Kabul
Uganda;Kampala
Nepal;Kathmandu
Sudan;Khartoum
Rwanda;Kigali
South Georgia and the South Sandwich Islands;King Edward Point
Jamaica;Kingston
Norfolk Island;Kingston
Saint Vincent and the Grenadines;Kingstown
Democratic Republic of the Congo;Kinshasa
Malaysia;Kuala Lumpur (de jure, legislative and royal)
Malaysia;Putrajaya (administrative and judicial)
Kuwait;Kuwait City
Ukraine;Kyiv
Bolivia;La Paz (administrative)
Bolivia;Sucre (constitutional)
Western Sahara;Laayoune (declared)
Western Sahara;Tifariti (de facto)
Gabon;Libreville
Malawi;Lilongwe
Peru;Lima
Portugal;Lisbon
Slovenia;Ljubljana
Eswatini;Lobamba (royal and legislative)
Eswatini;Mbabane (administrative)
Togo;Lomé
United Kingdom;London
British Indian Ocean Territory;London (administration)
British Indian Ocean Territory;Diego Garcia (de facto)
Angola;Luanda
Zambia;Lusaka
Luxembourg;Luxembourg
Spain;Madrid
Marshall Islands;Majuro
Equatorial Guinea;Malabo
Maldives;Malé
Nicaragua;Managua
Bahrain;Manama
Philippines;Manila
Mozambique;Maputo
Åland Islands;Mariehamn
Saint Martin;Marigot
Lesotho;Maseru
Wallis and Futuna;Mata Utu
Mexico;Mexico City
Belarus;Minsk
Somalia;Mogadishu
Monaco;Monaco
Liberia;Monrovia
Uruguay;Montevideo
Comoros;Moroni
Russia;Moscow
Oman;Muscat
Kenya;Nairobi
Bahamas, The;Nassau
Myanmar;Naypyidaw
Chad;N'Djamena
India;New Delhi
Palau;Ngerulmud
Niger;Niamey
Cyprus;Nicosia
Northern Cyprus;Nicosia
Mauritania;Nouakchott
New Caledonia;Nouméa
Tonga;Nukuʻalofa
Greenland;Nuuk
Aruba;Oranjestad
Norway;Oslo
Canada;Ottawa
Burkina Faso;Ouagadougou
American Samoa;Pago Pago
Micronesia;Palikir
Panama;Panama City
French Polynesia;Papeete
Suriname;Paramaribo
France;Paris
Sint Maarten;Philipsburg
Cambodia;Phnom Penh
Montenegro;Podgorica
Mauritius;Port Louis
Papua New Guinea;Port Moresby
Trinidad and Tobago;Port of Spain
Vanuatu;Port Vila
Haiti;Port-au-Prince
Czech Republic;Prague
Cape Verde;Praia
Kosovo;Pristina
North Korea;Pyongyang
Ecuador;Quito
Morocco;Rabat
Iceland;Reykjavík
Latvia;Riga
Saudi Arabia;Riyadh
British Virgin Islands;Road Town
Italy;Rome
Dominica;Roseau
British Antarctic Territory;Rothera
Northern Mariana Islands;Saipan
Costa Rica;San José
Puerto Rico;San Juan
San Marino;San Marino
El Salvador;San Salvador
Chile;Santiago
Dominican Republic;Santo Domingo
São Tomé and Príncipe;São Tomé
Bosnia and Herzegovina;Sarajevo
South Korea;Seoul
Singapore;Singapore
North Macedonia;Skopje
Bulgaria;Sofia
Kiribati;South Tarawa
Grenada;St. George's
Jersey;St. Helier
Antigua and Barbuda;St. John's
Guernsey;St. Peter Port
Saint Pierre and Miquelon;St. Pierre
Falkland Islands;Stanley
Sweden;Stockholm
Abkhazia;Sukhumi
Fiji;Suva
Taiwan;Taipei
Estonia;Tallinn
Uzbekistan;Tashkent
Georgia;Tbilisi
Honduras;Tegucigalpa
Honduras;Comayagüela
Iran;Tehran
Bhutan;Thimphu
Albania;Tirana
Transnistria;Tiraspol
Japan;Tokyo
Faroe Islands;Tórshavn
Libya;Tripoli
South Ossetia;Tskhinvali
Tunisia;Tunis
Mongolia;Ulaanbaatar
Liechtenstein;Vaduz
Malta;Valletta
Anguilla;The Valley
Vatican City;Vatican City
Seychelles;Victoria
Austria;Vienna
Laos;Vientiane
Lithuania;Vilnius
Poland;Warsaw
United States;Washington, D.C.
New Zealand;Wellington
Cocos (Keeling) Islands;West Island
Curaçao;Willemstad
Namibia;Windhoek
Cameroon;Yaoundé
Nauru;Yaren (de facto)
Armenia;Yerevan
Croatia;Zagreb
